main_code,main_category,sub_code,sub_name,description
1,Mechanical failure,1,General,A failure related to some mechanical defect but where no further details are known.
1,Mechanical failure,1.1,Leakage,"External and internal leakage, either liquids or gases. If the failure mode at equipment unit level is coded as “leakage”, a more causally oriented failure mechanism should be used wherever possible."
1,Mechanical failure,1.2,Vibration,"Abnormal vibration. If the failure mode at equipment level is “vibration”, which is a more causally oriented failure mechanism, the failure cause (root cause) should be recorded wherever possible."
1,Mechanical failure,1.3,Clearance/alignment failure,Failure caused by faulty clearance or alignment.
1,Mechanical failure,1.4,Deformation,"Distortion, bending, buckling, denting, yielding, shrinking, blistering, creeping, etc."
1,Mechanical failure,1.5,Looseness,"Disconnection, loose items."
1,Mechanical failure,1.6,Sticking,"Sticking, seizure, jamming due to reasons other than deformation or clearance/alignment failures."
2,Material failure,2,General,A failure related to a material defect but no further details known.
2,Material failure,2.1,Cavitation,Relevant for equipment such as pumps and valves.
2,Material failure,2.2,Corrosion,"All types of corrosion, both wet (electrochemical) and dry (chemical)."
2,Material failure,2.3,Erosion,Erosive wear.
2,Material failure,2.4,Wear,"Abrasive and adhesive wear, e.g. scoring, galling, scuffing, fretting."
2,Material failure,2.5,Breakage,"Fracture, breach, crack."
2,Material failure,2.6,Fatigue,"If the cause of breakage can be traced to fatigue, this code should be used."
2,Material failure,2.7,Overheating,Material damage due to overheating/burning.
2,Material failure,2.8,Burst,"Item burst, blown, exploded, imploded, etc."
3,Instrument failure,3,General,Failure related to instrumentation but no details known.
3,Instrument failure,3.1,Control failure,"No, or faulty, regulation."
3,Instrument failure,3.2,No signal/indication/alarm,No signal/indication/alarm when expected.
3,Instrument failure,3.3,Faulty signal/indication/alarm,"Signal/indication/alarm is wrong in relation to actual process. Can be spurious, intermittent, oscillating, arbitrary."
3,Instrument failure,3.4,Out of adjustment,"Calibration error, parameter drift."
3,Instrument failure,3.5,Software error,"Faulty, or no, control/monitoring/operation due to software error."
3,Instrument failure,3.6,Common cause/Common mode failure,"Several instrument items failed simultaneously, e.g. redundant fire and gas detectors; also failures related to a common cause."
4,Electrical failure,4,General,"Failures related to the supply and transmission of electrical power, but where no further details are known."
4,Electrical failure,4.1,Short circuiting,Short circuit.
4,Electrical failure,4.2,Open circuit,"Disconnection, interruption, broken wire/cable."
4,Electrical failure,4.3,No power/voltage,Missing or insufficient electrical power supply.
4,Electrical failure,4.4,Faulty power/voltage,"Faulty electrical power supply, e.g. overvoltage."
4,Electrical failure,4.5,Earth/isolation fault,"Earth fault, low electrical resistance."
5,External influence,5,General,Failure caused by some external events or substances outside the boundary but no further details are known.
5,External influence,5.1,Blockage/plugged,"Flow restricted/blocked due to fouling, contamination, icing, flow assurance (hydrates), etc."
5,External influence,5.2,Contamination,"Contaminated fluid/gas/surface, e.g. lubrication oil contaminated, gas-detector head contaminated."
5,External influence,5.3,Miscellaneous external influences,"Foreign objects, impacts, environmental influence from neighbouring systems."
6,Miscellaneous,6,General,Failure mechanism that does not fall into one of the categories listed above.
6,Miscellaneous,6.1,No cause found,Failure investigated but cause not revealed or too uncertain.
6,Miscellaneous,6.2,Combined causes,Several causes: If there is one predominant cause this should be coded.
6,Miscellaneous,6.3,Other,No code applicable: Use free text.
6,Miscellaneous,6.4,Unknown,No information available.
